title,price,rating,availability
In Her Wake,12.84,One,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock
Sophie's World,15.94,Five,In stock
Set Me Free,17.46,Five,In stock
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock
"In a Dark, Dark Wood",19.63,One,In stock
Shakespeare's Sonnets,20.66,Four,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock
The Requiem Red,22.65,One,In stock
The Elephant Tree,23.82,Five,In stock
Olio,23.88,One,In stock
Chase Me (Paris Nights #2),25.27,Five,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock
Penny Maybe,33.29,Three,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock
You can't bury them all: Poems,33.63,Two,In stock
Black Dust,34.53,Five,In stock
Rip it Up and Start Again,35.02,Five,In stock
The Bear and the Piano,36.89,One,In stock
How Music Works,37.32,Two,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock
Worlds Elsewhere: Journeys Around Shakespeareâ€™s Globe,40.3,Five,In stock
Wall and Piece,44.18,Four,In stock
It's Only the Himalayas,45.17,Two,In stock
Sharp Objects,47.82,Four,In stock
Soumission,50.1,One,In stock
Libertarianism for Beginners,51.33,Two,In stock
A Light in the Attic,51.77,Three,In stock
The Black Maria,52.15,One,In stock
Behind Closed Doors,52.22,Four,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock
Aladdin and His Wonderful Lamp,53.13,Three,In stock
Tipping the Velvet,53.74,One,In stock
Sapiens: A Brief History of Humankind,54.23,Five,In stock
Birdsong: A Story in Pictures,54.64,Three,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock
